price,type,bedrooms,bathrooms,payment_method,down_payment,size_sqm,down_payment_ratio,year,month,area,city,governorate
8000000.0,chalet,3.0,1.0,cash,1200000.0,68.0,0.15,2025,August,Swan Lake Gouna,Al Gouna,Hurghada
25000000.0,villa,4.0,4.0,cash,2100000.0,220.0,0.08,2025,September,Karmell,New Zayed City,Sheikh Zayed City
15135000.0,chalet,2.0,2.0,cash,1513000.0,118.0,0.1,2025,August,Azha North,Ras Al Hekma,North Coast
12652000.0,apartment,3.0,2.0,installments,1260000.0,166.0,0.1,2025,August,Taj City,5Th Settlement Compounds,The 5Th Settlement
45250000.0,villa,7.0,7.0,cash,2262500.0,400.0,0.05,2025,September,Granville,New Capital City,Cairo
19760000.0,chalet,3.0,2.0,installments,988000.0,126.0,0.05,2025,August,Marina 5,Marina,Al Alamein
9000000.0,apartment,4.0,5.0,installments,900000.0,262.0,0.1,2025,July,The Icon Residence,5Th Settlement Compounds,The 5Th Settlement
2770000.0,villa,3.0,5.0,cash,277000.0,370.0,0.1,2025,August,Nyoum October,Northern Expansions,6 October City
13200000.0,villa,3.0,3.0,cash,1320000.0,220.0,0.1,2025,August,La Vista Ras El Hikma,Ras Al Hekma,North Coast
22300000.0,apartment,3.0,2.0,installments,2230000.0,195.0,0.1,2025,August,Azad,5Th Settlement Compounds,The 5Th Settlement
5000000.0,apartment,3.0,4.0,installments,500000.0,220.0,0.1,2025,August,Jirian,New Zayed City,Sheikh Zayed City
9300000.0,chalet,3.0,2.0,cash,930000.0,75.0,0.1,2025,August,Mangroovy Residence,Al Gouna,Hurghada
10000000.0,apartment,3.0,1.0,cash,900000.0,140.0,0.09,2025,July,Almaza Bay,Qesm Marsa Matrouh,North Coast
20000000.0,chalet,3.0,3.0,installments,2000000.0,160.0,0.1,2025,September,Caesar,Qesm Marsa Matrouh,North Coast
3341100.0,apartment,1.0,1.0,cash,1002330.0,74.0,0.3,2025,August,El Hadaba District,Hurghada,Red Sea
18000000.0,apartment,3.0,3.0,cash,5000000.0,128.0,0.28,2025,September,Mangroovy Residence,Al Gouna,Hurghada
3150000.0,apartment,1.0,1.0,cash,315000.0,64.0,0.1,2025,August,Taj City,5Th Settlement Compounds,The 5Th Settlement
29310000.0,chalet,3.0,4.0,installments,9000000.0,150.0,0.4,2025,September,Makadi Orascom Resort,Makadi,Hurghada
14127000.0,chalet,2.0,1.0,installments,353175.0,72.0,0.02,2025,September,Hacienda Waters,Qesm Ad Dabaah,North Coast
16800000.0,chalet,3.0,3.0,cash,168000.0,150.0,0.01,2025,August,Caesar,Qesm Marsa Matrouh,North Coast
9000000.0,apartment,3.0,3.0,installments,450000.0,125.0,0.05,2025,September,Talala,New Heliopolis Compounds,New Heliopolis
9900000.0,apartment,3.0,3.0,cash,990000.0,170.0,0.1,2025,August,Palm Parks Palm Hills,South Dahshur Link,6 October City
14100000.0,chalet,3.0,1.0,cash,705000.0,100.0,0.05,2025,July,Solare,Ras Al Hekma,North Coast
14100000.0,chalet,3.0,3.0,cash,1410000.0,147.0,0.1,2025,September,The Med,Ras Al Hekma,North Coast
5382000.0,apartment,1.0,1.0,cash,538200.0,78.0,0.1,2025,May,Al Ahyaa District,Hurghada,Red Sea
11530000.0,apartment,4.0,4.0,cash,4000000.0,240.0,0.35,2025,September,Ivoire,Sheikh Zayed City,Giza
28000000.0,villa,3.0,3.0,cash,1400000.0,187.0,0.05,2025,August,Solare,Ras Al Hekma,North Coast
3500000.0,apartment,1.0,1.0,installments,900000.0,45.0,0.26,2025,August,Madinaty,Cairo,Unknown
9085000.0,apartment,2.0,2.0,cash,908500.0,153.0,0.1,2025,July,Bloomfields,Mostakbal City Compounds,Mostakbal City - Future City
4000000.0,villa,3.0,3.0,cash,400000.0,186.0,0.1,2025,August,Badya Palm Hills,6 October Compounds,6 October City
18000000.0,chalet,3.0,2.0,cash,1800000.0,102.0,0.1,2025,September,Beit Al Bahr,Sidi Heneish,North Coast
8000000.0,apartment,2.0,1.0,cash,500000.0,125.0,0.06,2025,August,Mountain View Icity,5Th Settlement Compounds,The 5Th Settlement
3900000.0,apartment,3.0,2.0,cash,390000.0,125.0,0.1,2025,August,Solay,5Th Settlement Compounds,The 5Th Settlement
25540000.0,villa,3.0,5.0,installments,1250000.0,260.0,0.05,2025,September,Palm Hills New Cairo,5Th Settlement Compounds,The 5Th Settlement
2992500.0,apartment,1.0,1.0,cash,897750.0,59.0,0.3,2025,August,El Hadaba District,Hurghada,Red Sea
71500000.0,villa,3.0,5.0,installments,9000000.0,403.0,0.45,2025,August,Belle Vie,New Zayed City,Sheikh Zayed City
12000000.0,chalet,3.0,1.0,installments,1200000.0,71.0,0.1,2025,August,Arc Of Soma,Soma Bay,Safaga
4950000.0,chalet,2.0,2.0,installments,495000.0,104.0,0.1,2025,August,Amwaj,Sidi Abdel Rahman,North Coast
6386000.0,apartment,2.0,1.0,installments,1277200.0,95.0,0.2,2025,August,Jasmine Village,Hurghada Resorts,Hurghada
16999990.0,chalet,3.0,2.0,cash,1699999.0,139.0,0.1,2025,September,Beit Al Bahr,Sidi Heneish,North Coast
29019200.0,villa,3.0,5.0,cash,8905580.0,261.0,0.31,2025,July,City Gate,5Th Settlement Compounds,The 5Th Settlement
5300000.0,apartment,1.0,1.0,installments,159000.0,85.0,0.03,2025,August,Eelaf Compound,New Cairo City,Cairo
32000000.0,villa,3.0,2.0,cash,4500000.0,130.0,0.14,2025,August,Swan Lake Gouna,Al Gouna,Hurghada
